,company,href
0,OTHERS,http://www.livemint.com/Companies/coPcc4KKMyYKPYYwlo7ukJ/In-firms-PCs-and-smartphones-coexist-in-a-multidevice-worl.html
0,OTHERS,http://www.livemint.com/Money/dJKoZ5qKObg92TdK1e8l0L/Tata-Motors-results-JLR-belies-investors-hope-even-as-Tata.html
0,REL,http://www.livemint.com/Money/7WlS7f7eBcGuR7rp8iuYaJ/Reliance-Communicationss-September-quarter-results-hit-by-c.html
0,OTHERS,http://www.livemint.com/Money/7WlS7f7eBcGuR7rp8iuYaJ/Reliance-Communicationss-September-quarter-results-hit-by-c.html
0,MM,http://www.livemint.com/Money/U6Rr1LTDu3m3CwpQNqoAPO/Tractors-rev-up-as-auto-segment-wobbles-at-Mahindra-and-Mahi.html
0,SBI,http://www.livemint.com/Money/y3gvFPBepeBhUETL7pwGwO/Swachh-SBI-Not-yet.html
0,SBI,http://www.livemint.com/Money/y3gvFPBepeBhUETL7pwGwO/Swachh-SBI-Not-yet.html
0,OTHERS,http://www.livemint.com/Money/YI7of7kFSdDR83q8K66pCL/Pharma-shares-hit-by-antitrust-chill.html
0,OTHERS,http://www.livemint.com/Opinion/IPLgVL2bWf1JSABCgqclHI/Big-Data-and-the-US-election.html
0,OTHERS,http://www.livemint.com/Industry/LgiU7oZ55AS1cl2UwIvTCN/Paytm-mobile-interface-to-be-available-in-10-Indian-language.html
0,AX,http://www.livemint.com/Companies/0SArJpfqkiCBj82GYYIncL/Axis-Bank-in-talks-to-sell-Mswipe-stake.html
0,REL,http://www.livemint.com/Industry/fORprymIQSuPf1nNzGyAbL/Bad-loans-continue-to-pile-up-at-banks-in-Q2.html
0,OTHERS,http://www.livemint.com/Industry/fORprymIQSuPf1nNzGyAbL/Bad-loans-continue-to-pile-up-at-banks-in-Q2.html
0,OTHERS,http://www.livemint.com/Money/hNBrjChUVM5pMu06LUKsRM/Note-ban-Charges-on-ATM-transactions-waived-till-30-Decembe.html
0,OTHERS,http://www.livemint.com/Industry/kKy2EqLiS77swQ1dDdhHTP/District-cooperative-banks-not-allowed-to-provide-exchange-f.html
0,OTHERS,http://www.livemint.com/Industry/kKy2EqLiS77swQ1dDdhHTP/District-cooperative-banks-not-allowed-to-provide-exchange-f.html
0,OTHERS,http://www.livemint.com/Industry/dZ6ywVBwrNXMy3i28av4lK/Ujjivan-becomes-fourth-entity-to-receive-small-finance-bank.html
0,OTHERS,http://www.livemint.com/Politics/TiVYYArwmH315XrCksvXqN/NCPINo-switching-fee-for-RuPay-PoS-transactions-till-31-Dec.html
0,OTHERS,http://www.livemint.com/Industry/LgiU7oZ55AS1cl2UwIvTCN/Paytm-mobile-interface-to-be-available-in-10-Indian-language.html
0,AX,http://www.livemint.com/Companies/0SArJpfqkiCBj82GYYIncL/Axis-Bank-in-talks-to-sell-Mswipe-stake.html
0,REL,http://www.livemint.com/Industry/fORprymIQSuPf1nNzGyAbL/Bad-loans-continue-to-pile-up-at-banks-in-Q2.html
0,OTHERS,http://www.livemint.com/Industry/fORprymIQSuPf1nNzGyAbL/Bad-loans-continue-to-pile-up-at-banks-in-Q2.html
0,OTHERS,http://www.livemint.com/Money/hNBrjChUVM5pMu06LUKsRM/Note-ban-Charges-on-ATM-transactions-waived-till-30-Decembe.html
0,OTHERS,http://www.livemint.com/Industry/kKy2EqLiS77swQ1dDdhHTP/District-cooperative-banks-not-allowed-to-provide-exchange-f.html
0,OTHERS,http://www.livemint.com/Industry/kKy2EqLiS77swQ1dDdhHTP/District-cooperative-banks-not-allowed-to-provide-exchange-f.html
0,OTHERS,http://www.livemint.com/Industry/dZ6ywVBwrNXMy3i28av4lK/Ujjivan-becomes-fourth-entity-to-receive-small-finance-bank.html
0,OTHERS,http://www.livemint.com/Politics/TiVYYArwmH315XrCksvXqN/NCPINo-switching-fee-for-RuPay-PoS-transactions-till-31-Dec.html
0,OTHERS,http://www.livemint.com/Industry/Oh1p9YSPJlXqddJNvuZx3O/Google-takes-aim-to-ban-AdSense-on-fake-news-sites.html
0,OTHERS,http://www.livemint.com/Companies/coPcc4KKMyYKPYYwlo7ukJ/In-firms-PCs-and-smartphones-coexist-in-a-multidevice-worl.html
0,OTHERS,http://www.livemint.com/Companies/EglgHzajhyz0SD8FdF6JEM/GE-buys-cloudbased-software-firm-ServiceMax-for-915-millio.html
0,INFO,http://www.livemint.com/Companies/aXuu3v9EGvcDz4Laqf2mGI/Infosys-invests-undisclosed-amount-in-USbased-startup-Tida.html
0,OTHERS,http://www.livemint.com/Home-Page/GJWLb1CyeVMiP87J6UgvwK/Mark-Zuckerberg-among-Facebook-users-declared-dead.html
0,OTHERS,http://www.livemint.com/Industry/oGc5GhnVJ8OrKsraf8lR9L/Facebooks-Mark-Zuckerberg-says-fake-news-didnt-drive-US-el.html
0,OTHERS,http://www.livemint.com/Consumer/YOGFH1gsIlhaDNxYl1lxvO/Facebook-Twitter-contend-with-their-role-in-Donald-Trumps.html
0,OTHERS,http://www.livemint.com/Money/dJKoZ5qKObg92TdK1e8l0L/Tata-Motors-results-JLR-belies-investors-hope-even-as-Tata.html
0,REL,http://www.livemint.com/Money/7WlS7f7eBcGuR7rp8iuYaJ/Reliance-Communicationss-September-quarter-results-hit-by-c.html
0,OTHERS,http://www.livemint.com/Money/7WlS7f7eBcGuR7rp8iuYaJ/Reliance-Communicationss-September-quarter-results-hit-by-c.html
0,MM,http://www.livemint.com/Money/U6Rr1LTDu3m3CwpQNqoAPO/Tractors-rev-up-as-auto-segment-wobbles-at-Mahindra-and-Mahi.html
0,SBI,http://www.livemint.com/Money/y3gvFPBepeBhUETL7pwGwO/Swachh-SBI-Not-yet.html
0,SBI,http://www.livemint.com/Money/y3gvFPBepeBhUETL7pwGwO/Swachh-SBI-Not-yet.html
