,company,href
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-ends-flat-after-200-points-swing-nifty-tops-8600/articleshow/54604931.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/nikkei-tumbles-on-deutsche-fears-financials-down/articleshow/54603727.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/china-stocks-see-small-gains-on-signs-domestic-export-demand-picking-up/articleshow/54603584.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-reclaims-mount-28k-top-five-factors-that-may-be-fuelling-this-rally/articleshow/54651629.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sensex-reclaims-mount-28k-top-five-factors-that-may-be-fuelling-this-rally/articleshow/54651629.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/why-are-it-stocks-down-on-a-day-when-sensex-is-up-350-points/articleshow/54654076.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/surpassing-most-em-peers-heres-how-indian-economic-growth-can-survive-pakistan-friction/articleshow/54653704.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/will-urjit-patel-continue-with-or-depart-from-rajans-approach/articleshow/54653344.cms
0,MAR,http://economictimes.indiatimes.com/markets/stocks/news/auto-stocks-in-a-fast-lane-on-festive-demand-maruti-bajaj-auto-top-bets/articleshow/54652008.cms
0,MAR,http://economictimes.indiatimes.com/markets/stocks/news/auto-stocks-in-a-fast-lane-on-festive-demand-maruti-bajaj-auto-top-bets/articleshow/54652008.cms
0,BAJAJ,http://economictimes.indiatimes.com/markets/stocks/news/auto-stocks-in-a-fast-lane-on-festive-demand-maruti-bajaj-auto-top-bets/articleshow/54652008.cms
0,BAJAJ,http://economictimes.indiatimes.com/markets/stocks/news/auto-stocks-in-a-fast-lane-on-festive-demand-maruti-bajaj-auto-top-bets/articleshow/54652008.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/top-ten-intraday-trading-ideas-for-afternoon-trade-for-monday-3-october-2016/articleshow/54651976.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/top-ten-intraday-trading-ideas-for-afternoon-trade-for-monday-3-october-2016/articleshow/54651976.cms
0,BAJAJ,http://economictimes.indiatimes.com/markets/stocks/news/bajaj-auto-sales-slip-2-in-september-but-motorcycles-stand-out/articleshow/54651812.cms
0,BAJAJ,http://economictimes.indiatimes.com/markets/stocks/news/bajaj-auto-sales-slip-2-in-september-but-motorcycles-stand-out/articleshow/54651812.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/5-cues-from-fo-mart-fresh-put-writing-at-8200-8500-to-lend-support-to-nifty50/articleshow/54651389.cms
0,MAR,http://economictimes.indiatimes.com/markets/stocks/news/maruti-rocks-in-auto-show-stay-put-for-more-experts/articleshow/54667695.cms
0,MAR,http://economictimes.indiatimes.com/markets/stocks/news/maruti-rocks-in-auto-show-stay-put-for-more-experts/articleshow/54667695.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/banking-auto-and-realty-stocks-tread-cautiously-ahead-of-rbi-meet/articleshow/54671011.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/banking-auto-and-realty-stocks-tread-cautiously-ahead-of-rbi-meet/articleshow/54671011.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/banking-auto-and-realty-stocks-tread-cautiously-ahead-of-rbi-meet/articleshow/54671011.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/mapping-the-market-rate-sensitive-stocks-get-big-lift-from-rate-cut-hpl-electric-falters/articleshow/54676634.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/hpl-electric-makes-poor-debut-lists-at-5-9-discount-over-issue-price/articleshow/54669242.cms
0,MM,http://economictimes.indiatimes.com/markets/stocks/news/amtek-auto-mahindra-cie-soar-up-to-7-on-asset-deal-buzz/articleshow/54669475.cms
0,REL,http://economictimes.indiatimes.com/markets/stocks/news/nse-records-improvement-in-market-share-in-first-half-of-fy17/articleshow/54676229.cms
0,SBI,http://economictimes.indiatimes.com/markets/stocks/news/sensex-ends-91-points-higher-on-rbi-rate-cut-sbi-surges-2/articleshow/54676043.cms
